Source,Hydroelectric power,"Wind, wave, tidal [note1]",Solar photovoltaic,Geothermal aquifers,Landfill gas,Sewage gas,Biogas,Municipal solid waste: biomass fraction,Non-municipal solid waste: biomass fraction,Animal Biomass,Plant Biomass,Straw,Wood,Wood - Dry,Wood - Seasoned,Wood - Wet,Coffee logs,Woodchip,Wood Pellets,Wood Briquettes,Charcoal,Liquid bio-fuels,Bioethanol [note 2],Biodiesel [note 2],Sustainable Aviation Fuel (SAF) - bio based,Cross-boundary Adjustment [note 2],Energy from renewable & waste sources,Total energy consumption of primary fuels and equivalents,Percentage from renewable sources and waste
1990,0.448,0.001,0.0,0.001,0.08,0.138,0.0,0.415,0.009,0.0,0.0,0.072,0.0,0.137,0.227,0.157,0.0,0.0,0.0,0.007,0.039,0.0,0.0,0.0,0.0,0.0,1.73,225.741,0.008
1991,0.398,0.001,0.0,0.001,0.105,0.151,0.0,0.415,0.012,0.0,0.0,0.072,0.0,0.135,0.225,0.16,0.0,0.0,0.0,0.007,0.036,0.0,0.0,0.0,0.0,0.0,1.716,231.263,0.007
1992,0.467,0.003,0.0,0.001,0.155,0.151,0.0,0.415,0.012,0.017,0.0,0.072,0.0,0.141,0.25,0.175,0.0,0.0,0.0,0.008,0.033,0.0,0.0,0.0,0.0,0.0,1.9,228.706,0.008
1993,0.37,0.019,0.0,0.001,0.162,0.158,0.0,0.415,0.009,0.052,0.0,0.072,0.237,0.14,0.248,0.179,0.0,0.0,0.0,0.008,0.034,0.0,0.0,0.0,0.0,0.0,2.103,231.619,0.009
1994,0.438,0.03,0.0,0.001,0.188,0.17,0.0,0.415,0.014,0.071,0.0,0.072,0.455,0.137,0.246,0.182,0.0,0.0,0.0,0.008,0.034,0.0,0.0,0.0,0.0,0.0,2.461,230.765,0.011
1995,0.416,0.034,0.0,0.001,0.199,0.193,0.0,0.417,0.016,0.071,0.0,0.072,0.498,0.134,0.244,0.185,0.0,0.0,0.0,0.008,0.035,0.0,0.0,0.0,0.0,0.0,2.524,230.895,0.011
1996,0.292,0.042,0.0,0.001,0.249,0.193,0.0,0.417,0.016,0.067,0.0,0.072,0.505,0.132,0.242,0.188,0.0,0.0,0.0,0.008,0.041,0.0,0.0,0.0,0.0,0.0,2.465,243.313,0.01
1997,0.378,0.057,0.0,0.001,0.317,0.192,0.0,0.258,0.016,0.068,0.0,0.072,0.506,0.13,0.24,0.191,0.0,0.0,0.0,0.008,0.038,0.0,0.0,0.0,0.0,0.0,2.471,240.599,0.01
1998,0.44,0.075,0.0,0.001,0.402,0.181,0.0,0.346,0.015,0.076,0.0,0.072,0.437,0.129,0.239,0.193,0.0,0.0,0.0,0.008,0.04,0.0,0.0,0.0,0.0,0.0,2.654,246.157,0.011
1999,0.459,0.073,0.0,0.001,0.572,0.189,0.0,0.345,0.02,0.157,0.0,0.072,0.368,0.126,0.237,0.196,0.0,0.0,0.0,0.008,0.033,0.0,0.0,0.0,0.0,0.0,2.856,245.784,0.012
2000,0.437,0.081,0.0,0.001,0.731,0.169,0.0,0.35,0.025,0.183,0.002,0.08,0.221,0.122,0.227,0.194,0.0,0.003,0.012,0.008,0.036,0.0,0.0,0.0,0.0,0.0,2.882,247.782,0.012
2001,0.348,0.083,0.0,0.001,0.836,0.168,0.0,0.39,0.026,0.205,0.012,0.141,0.196,0.119,0.225,0.199,0.0,0.003,0.012,0.008,0.033,0.0,0.0,0.0,0.0,0.0,3.005,252.601,0.012
2002,0.412,0.108,0.0,0.001,0.892,0.174,0.0,0.42,0.034,0.184,0.132,0.126,0.196,0.117,0.223,0.203,0.0,0.003,0.012,0.008,0.035,0.0,0.0,0.002,0.0,0.0,3.283,244.865,0.013
2003,0.278,0.111,0.0,0.001,1.088,0.165,0.003,0.446,0.034,0.169,0.256,0.15,0.196,0.115,0.223,0.207,0.0,0.003,0.012,0.008,0.037,0.0,0.0,0.016,0.0,0.0,3.519,247.942,0.014
2004,0.418,0.166,0.0,0.001,1.327,0.177,0.005,0.429,0.034,0.179,0.369,0.145,0.212,0.12,0.244,0.221,0.0,0.004,0.014,0.009,0.04,0.011,0.0,0.017,0.0,0.0,4.141,249.19,0.017
2005,0.423,0.25,0.001,0.001,1.421,0.206,0.005,0.426,0.034,0.171,0.475,0.135,0.522,0.128,0.271,0.237,0.0,0.004,0.016,0.01,0.036,0.173,0.048,0.027,0.0,0.001,5.02,249.989,0.02
2006,0.395,0.363,0.001,0.001,1.465,0.19,0.006,0.479,0.034,0.168,0.559,0.138,0.439,0.136,0.298,0.253,0.0,0.005,0.018,0.012,0.035,0.202,0.054,0.139,0.0,0.003,5.39,243.96,0.022
